iter	RMSE
171	790.4353784
172	789.8384531
173	789.56118
174	789.3796796
175	788.746932
176	788.5215549
177	788.1970974
178	787.4443747
179	787.1208377
180	786.7620149
181	786.2419971
182	786.0771101
183	785.6889877
184	785.5324356
185	785.516307
186	785.353546
187	784.8052753
188	784.2187014
189	783.936442
190	783.8151899
191	783.3743841
192	783.2436049
193	782.9865802
194	782.8815149
195	782.7474688
196	782.6268246
197	782.3372578
198	782.1298217
199	781.7343808
200	781.3388246
201	780.9139465
202	780.7659315
203	780.6384876
204	780.5664468
205	780.3791648
206	780.288207
207	779.8188397
208	779.6280914
209	779.155702
210	778.5111529
211	777.9896688
212	777.8360925
213	777.6980332
214	777.5763895
215	777.1640371
216	776.7640509
217	776.1048131
218	775.8641912
219	775.4840364
220	775.4142569
221	775.0766069
222	774.7225289
223	774.5573503
224	774.2499869
225	774.1953726
226	774.0764085
227	774.0072322
228	773.914846
229	773.582943
230	773.1684394
231	772.7773898
232	772.5032325
233	772.2452409
234	771.8830676
235	771.7473722
236	771.3414601
237	771.2530751
238	770.998661
239	770.8218873
240	770.4174671
241	770.1872405
242	769.9166938
243	769.7055033
244	769.6237186
245	769.2202178
246	768.98626
247	768.9327915
248	768.62495
249	768.5443635
250	768.2567219
251	768.1867225
252	768.1463454
253	767.9596506
254	767.8513116
255	767.4877548
256	767.312073
257	767.1995857
258	766.7727998
259	766.5482361
260	766.4460252
261	766.1957038
262	766.0725289
263	765.8632505
264	765.667736
265	765.5945633
266	765.2616605
267	765.0527596
268	764.9310765
269	764.8185935
270	764.7568569
271	764.4825546
272	764.3379709
273	764.0940015
274	763.8322059
275	763.7301601
276	763.6443812
277	763.4630398
278	763.4027055
279	763.040312
280	762.8606904
281	762.835625
282	762.7232481
283	762.6080201
284	762.5816232
285	762.4566633
286	762.2993644
287	761.9696017
288	761.9229597
289	761.8984003
290	761.6292171
291	761.5744985
292	761.3259238
293	761.2437439
294	761.0668158
295	760.8962325
296	760.7338763
297	760.570485
298	760.4876853
299	760.3140091
300	760.0244299
301	759.9527626
302	759.8314011
303	759.6928823
304	759.6316799
305	759.4674701
306	759.4206359
307	759.1963195
308	759.118208
309	759.0517452
310	759.0031289
311	758.7787051
312	758.7303037
313	758.6868744
314	758.6286791
315	758.5741779
316	758.4621778
317	758.421828
318	758.3540758
319	758.1724049
320	758.1005881
321	757.9847891
322	757.8609088
323	757.734583
324	757.6222118
325	757.5295186
326	757.495516
327	757.4349646
328	757.3255831
329	757.1728725
330	757.0432906
331	756.8167434
332	756.6524382
333	756.5873442
334	756.5039177
335	756.4603165
336	756.3745315
337	756.2764782
338	756.2033946
339	756.1318729
340	756.0776528
341	756.0199745
342	755.9248645
343	755.8472615
344	755.8145343
345	755.6855086
346	755.6579841
347	755.5984004
348	755.5471687
349	755.4337544
350	755.3005378
351	755.2544469
352	755.2334822
353	755.1424401
354	755.1008472
355	755.0524292
356	755.0128962
357	754.9790247
358	754.7615636
359	754.7074071
360	754.6104873
361	754.5773326
362	754.5439285
363	754.4462516
364	754.3758434
365	754.246228
366	754.191787
367	754.1586961
368	754.0074578
369	753.7768939
370	753.7373622
371	753.7014394
372	753.6656197
373	753.6185539
374	753.5487327
375	753.5150422
376	753.4332737
377	753.3398554
378	753.2740861
379	753.1797067
380	753.0990741
381	753.029894
382	753.0109185
383	752.9935142
384	752.9244864
385	752.8583453
386	752.7996201
387	752.734873
388	752.7147895
389	752.5299944
390	752.4998836
391	752.4487324
392	752.3699039
393	752.3451779
394	752.3190258
395	752.2416149
396	752.1908731
397	752.1581085
398	752.0880429
399	751.9952603
400	751.9727792
401	751.9512862
402	751.9275428
403	751.9059969
404	751.8609009
405	751.791399
406	751.7622044
407	751.6258055
408	751.5535403
409	751.5111235
410	751.4932024
411	751.4586747
412	751.3623964
413	751.2953336
414	751.2570487
415	751.187728
416	751.0175151
417	750.9638515
418	750.8814397
419	750.8017773
420	750.7573151
421	750.7136174
422	750.701051
423	750.6015721
424	750.5748529
425	750.5027841
426	750.4783079
427	750.3511557
428	750.3068643
429	750.2457819
430	750.1724146
431	750.1530503
432	750.1056184
433	750.0267744
434	749.9808696
435	749.9180746
436	749.8585842
437	749.8183055
438	749.761597
